Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2017,08205 Sant Cugat del Vallès,0,0,1,0,22,1,21,136,695,663,1155,93,13,4322
2017,08211 Sant Feliu de Llobregat,0,1,0,0,8,0,8,54,128,102,310,36,6,1359
2017,08217 Sant Joan Despí,1,2,0,0,4,0,4,53,62,36,231,27,1,1046
2017,08245 Santa Coloma de Gramenet,0,4,1,0,29,8,21,418,285,227,1480,104,16,4804
2017,08279 Terrassa,0,3,0,0,66,9,57,286,506,365,2086,138,36,7602
2017,08298 Vic,0,0,0,0,12,3,9,31,110,94,449,12,2,1646
2017,08301 Viladecans,1,1,0,0,15,3,12,148,144,107,931,51,7,2841
2017,08305 Vilafranca del Penedès,0,1,1,0,12,4,8,76,125,90,734,42,7,2306
2017,08307 Vilanova i la Geltrú,2,2,0,0,20,1,19,108,278,197,888,34,6,2977
2017,Provincia de GIRONA,5,14,383,2,221,36,185,818,4136,3068,12433,528,437,39515
2017,17023 Blanes,0,0,0,0,16,2,14,75,150,79,719,36,5,2152
2017,17066 Figueres,0,2,0,0,10,1,9,59,100,62,813,46,36,2771
2017,17079 Girona,0,1,2,0,34,3,31,215,354,268,1954,85,30,5590
2017,17095 Lloret de Mar,1,0,0,1,24,10,14,90,347,194,1562,35,83,3412
2017,17114 Olot,0,2,0,0,7,1,6,19,141,60,199,13,0,1068
2017,Provincia de LLEIDA,5,9,185,0,129,26,103,390,1208,867,4670,142,89,17231
2017,25120 Lleida,1,3,0,0,57,15,42,314,359,232,2430,73,23,8183
2017,Provincia de TARRAGONA,6,13,322,1,235,38,197,1033,4324,3393,9918,476,307,37695
2017,43038 Cambrils,1,1,0,0,10,1,9,28,195,149,366,16,10,1463
2017,43123 Reus,0,3,1,0,34,10,24,275,541,413,1108,87,65,5143
2017,43148 Tarragona,1,3,0,0,39,0,39,271,819,611,2742,127,48,8894
2017,43155 Tortosa,0,2,1,0,10,2,8,19,77,54,267,14,7,1200
2017,43163 Vendrell (El),0,1,0,0,23,1,22,45,250,220,420,25,19,2007
2017,COMUNITAT VALENCIANA,41,65,1833,4,1348,120,1228,5393,21565,16928,73922,3918,1592,227102
2017,Provincia de ALICANTE/ALACANT,10,17,614,3,510,54,456,1818,9579,7609,29860,1667,626,90343
2017,03009 Alcoy/Alcoi,2,0,9,0,13,1,12,28,127,80,377,29,4,1574
2017,03014 Alicante/Alacant,1,0,121,1,90,13,77,545,1046,678,7569,448,151,18343
2017,03031 Benidorm,0,2,58,0,41,11,30,150,286,172,3339,113,78,6591
2017,03063 Dénia,0,1,28,0,11,0,11,28,248,179,760,57,15,2249
2017,03065 Elche/Elx,0,1,67,0,63,3,60,226,716,560,3372,247,86,9804
2017,03066 Elda,1,1,13,0,9,1,8,42,120,91,537,61,10,2004
2017,03099 Orihuela,0,1,26,0,10,0,10,56,536,474,1074,57,11,3445
2017,03104 Petrer,1,0,6,0,6,0,6,15,54,43,250,28,2,900
2017,03121 Santa Pola,0,0,10,0,14,0,14,20,171,122,856,21,10,2330
2017,03122 San Vicente del Raspeig/Sant Vicent del Raspeig,0,0,13,0,16,1,15,44,214,177,698,28,8,2277
2017,03133 Torrevieja,0,0,54,0,53,2,51,162,1033,902,2377,100,35,7246
2017,03139 Villajoyosa/Vila Joiosa (la),0,0,7,0,6,1,5,20,101,84,465,56,2,1683
2017,03140 Villena,0,5,9,0,11,1,10,23,221,184,366,21,16,1390
2017,Provincia de CASTELLÓN/CASTELLÓ,5,4,261,0,177,15,162,409,2637,2107,6899,203,145,22748
2017,12032 Borriana/Burriana,0,0,8,0,6,1,5,53,210,183,833,15,4,2348
2017,12040 Castellón de la Plana/Castelló de la Plana,2,0,70,0,50,1,49,135,508,369,1677,75,24,4654
2017,12126 Vall d'Uixó (la),0,0,24,0,10,0,10,15,139,80,270,1,6,1158
2017,12135 Vila-real,0,0,20,0,4,1,3,25,146,114,288,15,3,1130
2017,Provincia de VALENCIA/VALÈNCIA,26,44,958,1,661,51,610,3166,9349,7212,37163,2048,821,114011
2017,46017 Alzira,1,1,6,0,11,1,10,38,166,130,476,21,10,1634
2017,46021 Aldaia,0,0,8,0,5,1,4,34,85,60,1179,17,5,1904
2017,46078 Burjassot,0,0,6,0,2,0,2,32,73,60,251,23,5,964
2017,46131 Gandia,2,0,43,0,26,3,23,60,212,145,1285,115,57,4031
2017,46159 Manises,0,0,7,0,4,0,4,38,99,64,371,81,15,1365
2017,46169 Mislata,0,3,8,0,10,1,9,18,48,35,245,31,7,982
2017,46184 Ontinyent,0,0,9,0,5,0,5,5,100,91,144,7,3,714
2017,46190 Paterna,2,1,7,0,16,0,16,48,143,120,556,78,19,2234
2017,46220 Sagunto/Sagunt,0,0,16,0,17,3,14,54,265,211,728,54,32,2572
2017,46244 Torrent,0,1,19,0,10,2,8,53,234,174,724,34,19,2548
2017,46250 Valencia,12,10,471,0,282,21,261,1887,2420,1834,18624,899,309,44911
2017,EXTREMADURA,8,16,375,1,153,10,143,277,2192,1288,7245,336,201,26411
