Fecha,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6. Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES
2022,35022 Santa Lucía de Tirajana,2426,0,6,58,0,30,6,24,42,56,43,562,14,9,1649,448,390,58,2874
2022,35026 Telde,4266,1,6,42,0,76,17,59,60,189,94,829,130,31,2902,1039,812,227,5305
2022,35004 Arrecife,2269,2,4,60,0,29,10,19,61,158,34,443,38,46,1428,209,190,19,2478
2022,35024 Teguise,506,0,0,9,0,8,2,6,5,33,11,76,1,14,360,128,117,11,634
2022,35028 Tías,1194,0,0,22,0,19,5,14,19,94,55,399,4,1,636,133,122,11,1327
2022,Provincia de SANTA CRUZ DE TENERIFE,37005,6,16,573,0,452,108,344,734,1823,1328,11899,531,261,20710,5630,4846,784,42635
2022,38024 Llanos de Aridane (Los),444,0,0,10,0,5,1,4,3,18,13,58,3,2,345,24,18,6,468
2022,38001 Adeje,4629,0,3,57,0,54,12,42,95,228,130,2221,70,48,1853,239,195,44,4868
2022,38006 Arona,5354,2,0,95,0,58,15,43,194,329,238,2158,70,38,2410,463,387,76,5817
2022,38011 Candelaria,468,0,1,7,0,8,0,8,4,27,22,79,0,2,340,159,136,23,627
2022,38017 Granadilla de Abona,2171,0,0,50,0,22,5,17,27,88,83,609,36,15,1324,308,254,54,2479
2022,38019 Guía de Isora,963,1,1,9,0,11,2,9,9,62,48,271,10,3,586,131,106,25,1094
2022,38020 Güímar,508,0,1,7,0,13,6,7,6,33,29,65,8,3,372,93,79,14,601
2022,38022 Icod de los Vinos,326,0,0,8,0,4,0,4,0,37,24,49,1,3,224,36,28,8,362
2022,38026 Orotava (La),1124,0,0,12,0,7,0,7,14,51,34,418,3,4,615,97,67,30,1221
2022,38028 Puerto de la Cruz,1622,0,0,25,0,16,4,12,33,58,49,668,17,5,800,201,174,27,1823
2022,38031 Realejos (Los),621,0,0,11,0,5,0,5,3,60,55,102,9,1,430,205,188,17,826
2022,38023 San Cristóbal de La Laguna,5060,0,5,74,0,56,14,42,134,182,124,1424,122,39,3024,1210,1092,118,6270
