Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,11. Resto de criminalidad convencional,III. TOTAL INFRACCIONES PENALES
2021,46070 Bétera,1,0,3,0,17,2,15,12,116,110,146,3,6,562,866
2021,46078 Burjassot,1,2,11,0,14,0,14,48,71,56,367,18,7,832,1371
2021,46083 Carcaixent,0,0,11,0,4,1,3,6,32,27,197,3,4,587,844
2021,46094 Catarroja,0,1,5,0,7,0,7,33,97,75,197,13,7,637,997
2021,46105 Cullera,0,0,24,0,16,1,15,30,99,78,414,13,6,978,1580
2021,46131 Gandia,2,0,54,0,30,4,26,57,229,150,1005,63,23,2340,3803
2021,46147 Llíria,0,0,11,0,6,3,3,13,124,111,194,5,5,718,1076
2021,46159 Manises,0,3,7,0,7,0,7,34,63,47,329,50,34,870,1397
2021,46169 Mislata,1,0,13,0,16,1,15,33,37,28,292,23,3,936,1354
2021,46171 Moncada,1,2,9,0,6,1,5,16,61,52,172,6,6,544,823
2021,46181 Oliva,0,0,12,0,14,0,14,6,96,89,214,9,17,774,1142
2021,46184 Ontinyent,0,0,9,0,11,3,8,5,72,65,109,2,6,580,794
2021,46186 Paiporta,0,0,11,0,3,0,3,16,40,27,197,11,5,681,964
2021,46190 Paterna,0,2,15,0,21,1,20,41,189,156,452,43,19,1680,2462
2021,46194 Picassent,0,0,11,0,13,2,11,15,60,53,165,3,30,703,1000
2021,46202 Pobla de Vallbona (la),0,1,8,0,9,0,9,13,74,66,122,4,3,639,873
2021,46213 Requena,0,3,13,0,7,0,7,3,51,42,101,2,4,543,727
2021,46214 Riba-roja de Túria,0,0,16,0,9,1,8,12,77,58,282,13,15,717,1141
2021,46102 Quart de Poblet,0,0,6,0,7,3,4,12,31,14,233,13,7,624,933
2021,46220 Sagunto/Sagunt,1,0,20,0,29,2,27,53,190,152,676,52,23,1688,2732
2021,46235 Sueca,0,0,18,0,8,1,7,31,107,87,221,7,8,941,1341
2021,46244 Torrent,1,2,19,0,19,4,15,46,314,212,693,28,38,1767,2927
2021,46145 Xàtiva,0,1,13,0,16,0,16,11,79,69,261,27,10,656,1074
2021,46110 Xirivella,0,0,12,0,6,1,5,13,43,34,221,11,1,650,957
2021,46250 Valencia,7,37,555,1,469,61,408,1994,2303,1754,19863,615,275,27239,53358
2021,EXTREMADURA,4,21,302,0,223,26,197,224,1461,962,4820,152,324,19735,27266
2021,Provincia de BADAJOZ,3,19,202,0,137,22,115,132,1055,715,3377,116,206,12835,18082
2021,06011 Almendralejo,0,3,9,0,13,2,11,7,62,48,164,7,14,902,1181
2021,06015 Badajoz,0,4,54,0,40,7,33,53,352,219,1444,54,78,4303,6382
2021,06044 Don Benito,0,3,8,0,7,3,4,8,52,40,218,5,4,851,1156
2021,06083 Mérida,0,5,20,0,15,3,12,30,95,67,499,35,25,1397,2121
2021,06153 Villanueva de la Serena,0,1,4,0,2,0,2,4,24,17,131,5,5,464,640
2021,Provincia de CÁCERES,1,2,100,0,86,4,82,92,406,247,1443,36,118,6900,9184
2021,10037 Cáceres,0,1,21,0,29,0,29,70,96,51,523,21,26,2211,2998
2021,10148 Plasencia,0,1,3,0,11,1,10,16,42,26,242,9,9,995,1328
2021,GALICIA,18,34,945,0,707,81,626,853,3760,2593,15367,405,458,65708,88255
2021,Provincia de CORUÑA (A),7,14,327,0,270,34,236,463,1872,1270,8171,129,128,29075,40456
2021,15002 Ames,0,0,9,0,4,1,3,0,19,11,117,1,3,714,867
2021,15005 Arteixo,0,0,9,0,9,0,9,7,65,41,151,6,3,987,1237
2021,15017 Cambre,0,0,6,0,6,2,4,3,37,23,95,4,2,617,770
2021,15019 Carballo,0,0,10,0,8,0,8,6,90,85,150,9,2,956,1231
2021,15030 Coruña (A),4,6,76,0,79,7,72,284,602,393,4144,43,25,7610,12873
2021,15031 Culleredo,0,0,11,0,7,0,7,3,56,36,183,3,5,921,1189
2021,15036 Ferrol,0,5,20,0,25,7,18,41,85,52,571,8,9,2142,2906
2021,15054 Narón,0,0,9,0,10,2,8,9,47,14,176,3,7,969,1230
2021,15058 Oleiros,0,0,6,0,9,1,8,7,73,59,270,11,1,978,1355
2021,15073 Ribeira,0,1,10,0,6,2,4,20,90,64,197,3,18,957,1302
2021,15078 Santiago de Compostela,0,1,47,0,30,5,25,33,119,79,923,12,14,2878,4057
2021,Provincia de LUGO,1,5,101,0,66,7,59,79,333,218,1203,23,56,6165,8032
2021,27028 Lugo,0,3,31,0,22,2,20,54,147,90,667,10,34,2554,3522
2021,Provincia de OURENSE,4,6,106,0,73,10,63,98,444,319,1244,39,40,6581,8635
2021,32054 Ourense,1,5,53,0,36,6,30,76,205,143,751,24,20,2937,4108
2021,Provincia de PONTEVEDRA,6,9,411,0,298,30,268,213,1111,786,4749,214,234,23887,31132
2021,36008 Cangas,0,0,11,0,2,1,1,4,22,17,151,0,13,804,1007
2021,36017 Estrada (A),0,0,9,0,4,1,3,0,17,13,24,1,0,332,387
2021,36024 Lalín,0,0,14,0,2,0,2,0,14,11,37,2,1,381,451
2021,36026 Marín,0,0,9,0,6,0,6,4,19,10,97,5,9,533,682
2021,"36039 Porriño, O",1,0,8,0,5,0,5,3,33,24,72,5,6,462,595
2021,36038 Pontevedra,0,1,27,0,29,4,25,13,85,56,440,8,40,2209,2852
